Technology,Year,Global_LCOE_USD_per_kWh,Country,US_LCOE_USD_per_kWh
Bioenergy,2010,0.08581455200898683,,
Geothermal,2010,0.055330241305781756,,
Hydro,2010,0.044163976449478434,,
Offshore wind,2010,0.20787302363498134,,
Onshore wind,2010,0.11267961643576369,United States,0.11351947374025242
Solar photovoltaic,2010,0.4169561538738537,United States,0.27219840115039967
Solar thermal,2010,0.40162608918186105,,
Bioenergy,2011,0.08224505827017678,,
Geothermal,2011,,,
Hydro,2011,0.041529306428401684,,
Offshore wind,2011,0.21536702487984366,,
Onshore wind,2011,0.10670633749959006,United States,0.11973355364862365
Solar photovoltaic,2011,0.34990243801537685,United States,0.2959755760501669
Solar thermal,2011,0.38888298984633357,,
Bioenergy,2012,0.07047065983384493,,
Geothermal,2012,0.09528636509389384,,
Hydro,2012,0.04320702578491867,,
Offshore wind,2012,0.1850816440248836,,
Onshore wind,2012,0.09770543564434218,United States,0.1014829006500255
Solar photovoltaic,2012,0.26002211662110886,United States,0.2538241595747267
Solar thermal,2012,0.3793239367064212,,
Bioenergy,2013,0.09037532484936703,,
Geothermal,2013,0.07074239877255441,,
Hydro,2013,0.04828864032300372,,
Offshore wind,2013,0.15602071074169915,,
Onshore wind,2013,0.0984568980737427,United States,0.08343382478635067
Solar photovoltaic,2013,0.20022081792983845,United States,0.22755996084347815
Solar thermal,2013,0.2795890430156455,,
Bioenergy,2014,0.09055459540254765,,
Geothermal,2014,0.07215596686088789,,
Hydro,2014,0.03772836399796511,,
Offshore wind,2014,0.18996396331388934,,
Onshore wind,2014,0.0878834467925832,United States,0.06872607924457162
Solar photovoltaic,2014,0.18286597788300152,United States,0.17378797846615301
Solar thermal,2014,0.24286571827021206,,
Bioenergy,2015,0.0796697760686131,,
Geothermal,2015,0.06492278745798147,,
Hydro,2015,0.04154220879329251,,
Offshore wind,2015,0.1549483655549025,,
Onshore wind,2015,0.07581618051729787,United States,0.06242641746089818
Solar photovoltaic,2015,0.13510516950878762,United States,0.16047577250637918
Solar thermal,2015,0.2513644631710593,,
Bioenergy,2016,0.07786159106730262,,
Geothermal,2016,0.0749594636123472,,
Hydro,2016,0.05496525977859467,,
Offshore wind,2016,0.12838613518650935,,
Onshore wind,2016,0.07017849604506081,United States,0.05735595316766723
Solar photovoltaic,2016,0.11834881198627743,United States,0.14337352477064697
Solar thermal,2016,0.27903508980827124,,
Bioenergy,2017,0.07773871809105985,,
Geothermal,2017,0.07842440955836986,,
Hydro,2017,0.05761486230866879,,
Offshore wind,2017,0.11662575585750076,,
Onshore wind,2017,0.06577677413245549,United States,0.050257519278824624
Solar photovoltaic,2017,0.09294475340248562,United States,0.10542708885495478
Solar thermal,2017,0.23284303078326013,,
Bioenergy,2018,0.059894047858880764,,
Geothermal,2018,0.0756899562875626,,
Hydro,2018,0.045250614442223266,,
Offshore wind,2018,0.11416620719770793,,
Onshore wind,2018,0.05587243537787257,United States,0.04616931078709736
Solar photovoltaic,2018,0.07864044173006132,United States,0.08170798733355979
Solar thermal,2018,0.1669882168678069,,
Bioenergy,2019,0.07028278517679125,,
Geothermal,2019,0.07469923500983164,,
Hydro,2019,0.0463889208067948,,
Offshore wind,2019,0.09494550724152352,,
Onshore wind,2019,0.04889121414958914,United States,0.041584406062699406
Solar photovoltaic,2019,0.06864203752628606,United States,0.06853293140663859
Solar thermal,2019,0.23802880094978987,,
Bioenergy,2020,0.07933244658529308,,
Geothermal,2020,0.06274689764680126,,
Hydro,2020,0.052205855313003216,,
Offshore wind,2020,0.09145540865015449,,
Onshore wind,2020,0.04060411520090277,United States,0.037040267554403344
Solar photovoltaic,2020,0.060999780090082584,United States,0.06680542507345336
Solar thermal,2020,0.11909422306602489,,
Bioenergy,2021,0.07350464933591784,,
Geothermal,2021,0.0750670742039552,,
Hydro,2021,0.05450181628330883,,
Offshore wind,2021,0.08192626990215916,,
Onshore wind,2021,0.036129905591920176,United States,0.03206915777236395
Solar photovoltaic,2021,0.05452616930580489,United States,0.06236243006194883
Solar thermal,2021,0.12675023283176035,,
Bioenergy,2022,0.06389518799845667,,
Geothermal,2022,0.058841214113376776,,
Hydro,2022,0.06264476910102267,,
Offshore wind,2022,0.08076069529923519,,
Onshore wind,2022,0.03422050404648057,United States,0.029544435755810707
Solar photovoltaic,2022,0.05109163828124907,United States,0.0601414718373785
Solar thermal,2022,0.12441211175246447,,
Bioenergy,2023,0.07272732691150263,,
Geothermal,2023,0.0724441532761417,,
Hydro,2023,0.0584200201377073,,
Offshore wind,2023,0.07645156411624068,,
Onshore wind,2023,0.0331285593219672,United States,0.03903431935657267
Solar photovoltaic,2023,0.0423778607730028,United States,0.058626876225356055
Solar thermal,2023,0.11959702370641175,,
Bioenergy,2024,0.08669711459952378,,
Geothermal,2024,0.05987423316317814,,
Hydro,2024,0.056526273097681975,,
Offshore wind,2024,0.07911744129094624,,
Onshore wind,2024,0.03405582492010252,United States,0.03870719457746454
Solar photovoltaic,2024,0.04261977004531659,United States,0.06952483376074428
Solar thermal,2024,0.09184348819451421,,
