Year,Coal_CF,Natural_Gas_CF,Wind_CF,Solar_CF
2015,0.5429999999999999,0.3435831601968787,0.322,0.24925100500049027
2016,0.528,0.3475247670439861,0.345,0.24679765441947824
2017,0.531,0.3216008221749186,0.34600000000000003,0.2531812834405118
2018,0.536,0.35825186691558164,0.34600000000000003,0.2500876330394586
2019,0.475,0.37788656072386684,0.344,0.24137789034760063
2020,0.405,0.3783048242736709,0.353,0.24047293112653495
2021,0.491,0.36579385130862346,0.344,0.24279787014628554
2022,0.484,0.3842947108108855,0.359,0.24370840090329032
2023,0.424,0.4067143404979406,0.332,0.23179290377403616
2024,0.426,0.4177567687431161,0.34299999999999997,0.23224159326593483
